Node_A,Node_B,Total_Weight,Source_Breakdown
MIND_CONCEPT,beheld five,1,Prajnaparamita-:1
MIND_CONCEPT,fortunate noble,1,Prajnaparamita-:1
MIND_CONCEPT,deep practice,1,Prajnaparamita-:1
MATTER_CONCEPT,MIND_CONCEPT,25,"Prajnaparamita-:2, Tao Te Ching Pr:9, short)King K:14"
MIND_CONCEPT,avalokite vara,1,Prajnaparamita-:1
-to-be avalokite,MIND_CONCEPT,1,Prajnaparamita-:1
MIND_CONCEPT,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,MIND_CONCEPT,1,Prajnaparamita-:1
-avalokite varo,MIND_CONCEPT,1,Prajnaparamita-:1
MIND_CONCEPT,caram dwelling,1,Prajnaparamita-:1
MIND_CONCEPT,rya -avalokite,1,Prajnaparamita-:1
MIND_CONCEPT,gambh praj,1,Prajnaparamita-:1
MIND_CONCEPT,sma panca,1,Prajnaparamita-:1
MIND_CONCEPT,dhisattvo noble,1,Prajnaparamita-:1
reverence fortunate,vyavalokayati sma,1,Prajnaparamita-:1
constituent groups,reverence fortunate,1,Prajnaparamita-:1
reverence fortunate,varo dhisattvo,1,Prajnaparamita-:1
ROOT_ACCESS,reverence fortunate,1,Prajnaparamita-:1
reverence fortunate,vara gambh,1,Prajnaparamita-:1
panca -skandh,reverence fortunate,1,Prajnaparamita-:1
five constituent,reverence fortunate,1,Prajnaparamita-:1
praj ramit,reverence fortunate,1,Prajnaparamita-:1
cary caram,reverence fortunate,1,Prajnaparamita-:1
reverence fortunate,yati sma,1,Prajnaparamita-:1
beheld five,reverence fortunate,1,Prajnaparamita-:1
fortunate noble,reverence fortunate,1,Prajnaparamita-:1
deep practice,reverence fortunate,1,Prajnaparamita-:1
MATTER_CONCEPT,reverence fortunate,1,Prajnaparamita-:1
avalokite vara,reverence fortunate,1,Prajnaparamita-:1
-to-be avalokite,reverence fortunate,1,Prajnaparamita-:1
dwelling deep,reverence fortunate,1,Prajnaparamita-:1
-skandh beheld,reverence fortunate,1,Prajnaparamita-:1
-avalokite varo,reverence fortunate,1,Prajnaparamita-:1
caram dwelling,reverence fortunate,1,Prajnaparamita-:1
reverence fortunate,rya -avalokite,1,Prajnaparamita-:1
gambh praj,reverence fortunate,1,Prajnaparamita-:1
reverence fortunate,sma panca,1,Prajnaparamita-:1
dhisattvo noble,reverence fortunate,1,Prajnaparamita-:1
constituent groups,vyavalokayati sma,1,Prajnaparamita-:1
varo dhisattvo,vyavalokayati sma,1,Prajnaparamita-:1
