Source,Raw_Text_Length,Raw_Text_Preview
Prajnaparamita-,4175,     Prajñāpāramitā -Hṛdayam   The Heart of the Perfection of Wisdom     edited by Edward Conze1  translated by Ānandajoti Bhikkhu       Oṁ! Namo Bhagavatyai Ārya -Prajñāpāramitāyai!   Hail! Reverence...
Tao Te Ching Pr,97496,道德经：老子原文与译文     Tao Te Ching    Original Text and   A Modern Interpretation     Yuan Zhiming       English Translation   by Daniel Baida Su and Chen Shangyu                               To LOVE   in ...
short)King K,121206,"Alotes  Chapter one  1. See the summary in Till and Schenke, Die Gnostischen Schriften, 1-2.  2. See, for example, Koester, ""Writing and the Spirit""; ""Written Gospels or  Oral Traditions?""  3. See Mar..."
